data,Battery,Camera,Performance,Display,Design,Packaging,Price,Shop_Service,Shipping,General,Others
Thông số kỹ thuật của màn hình giống với thông tin công bố.,,,,Neutral,,,,,,,
Máy cửa hàng giao ngoạI hình rất đẹp và còn rất mới. Săn sale mua được đúng 2tr cho bản ram 6gb. Mình là người mua thật để lại bình luận không phải spam nhé!,,,,,Positive,,Positive,,,,
"Hàng chuẩn, mình trừ 1 sao vì thời gian đợi giao hàng hơi lâu:(",,,,,,,,,Negative,,
"Sử dụng màn hình IPS LCD 6,4 inch với độ sáng tối đa 450 nits và tần số quét 60 Hz.",,Neutral,,,,,,,,,
hình ảnh chỉ mang tính chất minh hoạ. còn sản phẩm thì khá là tốt,,,,,,,,,,Positive,
"cửa hàng đóng gói ổn, giao đúng màu. máy nắp chặt quá khá khó mở nhưng nói chung là sử dụng ổn trong tầm giá",,,,,,Positive,Positive,,Positive,,
"phân loại máy 99% nhưng ngoại quan khoảng 98%, màn hình đẹp nhưng hơi ám vàng,lên android 14 thì đỡ hơn chút, âm thanh cũng bình thường,có 3 vết xước nhỏ,2 trên cụm cam và 1 trên mặc sau,mua máy 99% thì như vậy tạm chấp nhận được,mấy a và yêu cầu khắc khe như mới thì nên mưa loại fullbox cho khoẻ nhe",,,,Negative,Negative,,,,,,
"Vô địch tầm giá. Màn đẹp, sạc cực nhanh, pin trâu, cấu hình mạnh. Mình rất hài lòng về trải nghiệm sản phẩm ạ!",Positive,,Positive,Positive,,,Positive,,,,
Nhóm màu: cherry sản phẩm cửa hàng này lúc nào cũng tốt luôn nha,,,,,,,,,,Positive,
Máy đảm bảo chất lượng Ổn áp mà giao nhanh chóng Sẽ ủng hộ thêm sau,,,,,,,,,Positive,Positive,
"Màu sắc: đen 
tốt.",,,,,,,,,,Positive,
Máy sử dụng rất tốt chất lượng tốt sẽ tiếp tục mua nhiều lần sau nữa để cho đồng nghiệp của tôi cảm ơn cửa hàng đã bán giá hợp lý,,,,,,,Positive,,,,
"cửa hàng đóng gói rất cẩn thận, tem niêm phong, hoá đơn đầy đủ. có điều ngoại hình máy cực kì ám vàng. không biết phải do hàng vna năm nay thế không. mình định rate 5 sao nhưng nhắn tin nhờ cửa hàng check hộ bảo hành trên web mà cửa hàng không trả lời:(",,,,,Negative,Positive,,Negative,,,
"Trước có mua cái a55 ở cửa hàng rồi. Giờ mua thêm cái a56. Mới xài 2 ngày tạm thời thấy ổn, giá rẻ đóng gói kĩ",,,,,,Positive,Positive,,,,
"Tính năng nổi bật: ngon 
Đúng với mô tả: chất lượng 
Chất lượng sản phẩm: tốt",,,,,,,,,,Positive,
Dịch vụ của cửa hàng trả lời tin nhắn khá nhanh. Giá cả sản phẩm ở mức tạm chấp nhận so với tính năng nhận được.,,,,,,,Neutral,Neutral,,,
Hàng đẹp chất lượng mọi người nên mua,,,,,Positive,,,,,,
Mức giá này tương ứng với phiên bản bộ nhớ trong 128GB.,,,,,,,Neutral,,,,
"kém sai sự thật camera mờ, chụp ảnh nhòe,",,Negative,,,,,,,,,
"Nhóm màu: black 
Dung lượng lưu trữ: 128gb hàng nguyên seal đúng quãng cáo, giao nhanh đóng gói cẩn thận",,,,,,Positive,,,Positive,,
chăm sóc khách hàng từ chối hỗ trợ pin yếu chỉ 2h dùng nặng hiệu năng giật khi xem phim,Negative,,Negative,,,,,Negative,,,
