aspect,total,correct,errors,accuracy,error_rate
Camera,166,156,10,0.9397590361445783,0.06024096385542166
Display,117,111,6,0.9487179487179487,0.05128205128205132
Battery,262,250,12,0.9541984732824428,0.04580152671755722
Packaging,249,239,10,0.9598393574297188,0.04016064257028118
Performance,239,231,8,0.9665271966527197,0.03347280334728031
Shop_Service,218,211,7,0.9678899082568807,0.032110091743119296
General,409,396,13,0.9682151589242054,0.0317848410757946
Design,280,272,8,0.9714285714285714,0.02857142857142858
Price,315,309,6,0.9809523809523809,0.01904761904761909
Shipping,331,325,6,0.9818731117824774,0.01812688821752262
