data,Battery,Camera,Performance,Display,Design,Packaging,Price,Shop_Service,Shipping,General,Others
Máy mượt. Cam nét. Dùng ok,,Positive,Positive,,,,,,,,
đã mua nhiều lần khá uy tín trộm vía sử dụng khá tốt hình ảnh và video chỉ mang tính chất nhận xu,,,,,,,,,,Positive,
"Giao nhầm vùng, pin chỉ 3 giờ xem phim. Camera macro thiếu ánh, dịch vụ đóng yêu cầu bất ngờ.",Negative,Negative,,,,,,Negative,Negative,,
"Điện thoại dùng ổn trong tầm giá, máy mình chết main nên cần gấp để dùng mà đặt hỏa tốc giao như không đặt hoả tốc.",,,,,,,Positive,,Negative,,
Giống mô tả nhưng sạc pin chậm đầy sạc 12 tiếng vẫn không đầy pin,Negative,,,,,,,,,,
"Đúng hàng đặt, sẽ test sau.",,,,,,,,,,Neutral,
màu: clear dòng sản phẩm tương thích: iphone 14 promax hàng tốt,,,,,,,,,,Positive,
"Màu sắc: đen 
tính năng:rẻ trong tầm giá chất lượng:ổn định cửa hàng giao nhanh +nhiệt tình tư vấn",,,,,,,Positive,Positive,Positive,,
Cấu hình tuy không mạnh lắm nhưng với người không chơi game đồ họa này kia thì vô tư rồi.,,,Positive,,,,,,,,
hơi lag lag 1 chút. nhưng với giá tiền vậy cũng khá tốt rồi,,,Negative,,,,Positive,,,,
"Máy như mới,chỉ có vài vết xước bé xíu nhìn kĩ mới thấy,máy không lỗi gì,đặt hàng 98% cửa hàng giao hàng 99%,quá ưng luôn,mua ngay nhé mọi người kẻo hết. Cảm ơn cửa hàng nhiều 😊",,,,,,,,,,Positive,
"Nhóm màu: desert 
Dung lượng lưu trữ: 512gb tốt",,,,,,,,,,Positive,
"Loa nhỏ, rè âm thanh to là quảng cáo sai nghe nhạc không đã, cuộc gọi nghe không rõ,",,,,,,,,,,Negative,
Màu sắc: trắng-lock sim sử dụng tốt..,,,,,,,,,,Positive,
"Chưa đánh giá được mức giá có tương xứng hay không, cần so sánh thêm.",,,,,,,Neutral,,,,
camera góc rộng bị biến dạng ở góc. ảnh góc siêu rộng mờ. máy bị nóng khi quay video 4k. chất lượng ảnh không xứng với giá tiền. chăm sóc khách hàng không hỗ trợ đổi trả,,Negative,,,,,Negative,Negative,,,
Máy xài ổn trong tầm tiền. Mình mua cho ba nên không có ảnh.,,,,,,,Positive,,,,
"Nhóm 
Màu sắc: màu ngẫu nhiên sản phẩm: tốt,chất lượng sản phẩm tốt, cực kì hài lòng với sản phẩm và cách phục vụ của cửa hàng. Giá cả bình dân phù hợp với sinh viên học sinh. Tặng cửa hàng 5 sao ủng hộ",,,,,,,Positive,Positive,,Positive,
Đúng với mô tả:không tặng quà giống như quảng cáo,,,,,,,,,,Negative,
"tốt 
Đúng với mô tả: chuẩn 
Tính năng nổi bật: tốt
Mượt nhận hàng gần 1 tháng mới đánh giá ạ. cửa hàng uy tín và bán đúng đủ thừa sản phẩm. mua được kèm ốp dán màn. lỗi cho đổi và đóg gói có bảo hành đàng hoàng. sử dụng ổn định ngon lành hơn cửa hàng khác",,,,,,Positive,,Positive,,,
Máy tốt không vấn đề nhưng đúng như các bạn mua trước đã từng nói con này đúng là sóng yếu,,,,,,,,,,Negative,
máy cầm chắc chắn va kha mới. trải nghiêm tuyệt vơi tiếc không có ốp ạ.cam on cửa hàng,,,,,Positive,,,,,,
"Con điện thoại pin trâu, nhìn bên ngoài khá đẹp, hệ điều hành mượt (ưu điểm từ xưa của huawei và honor). Tiếc mỗi cái chụp ảnh ẹ, quay video tạm ổn. Cho mẹ sử dụng nên thấy tốt",Positive,Negative,,,Positive,,,,,Positive,
"Đúng với mô tả: không nên mua 
Chất lượng sản phẩm: như cặc phí tiền 
Tính năng nổi bật: không có như cặc",,,,,,,Negative,,,,
"Giao đúng ngày, lúc nhận hàng thấy giao cái điện thoại mà để trong thùng bự vậy, sợ bị nhầm, lúc khui thùng thì bất ngờ luôn Thì ra được Tecno tặng kèm cái quạt sạc (xịn, mát) và bình nước xinh xinh Cám ơn cửa hàng rất nhiều",,,,,,,,,Positive,,
"Mọi người ơi, lịch cập nhật phần mềm cho máy này thường diễn ra khi nào vậy?",,,,,,,,,,Neutral,
"Hàng dỏm. Ảnh chụp màu sắc bị sai tông. Hiệu năng tệ. Camera chụp màu quá ảo, không thật mắt. Hiệu năng kém, dễ lag. Pin sạc lâu. Đóng gói không bảo vệ. Ship chậm",Negative,Negative,Negative,,,Negative,,,Negative,,
"Ok...Hàng mới nguyên hộp, giá rẻ hơn nhiều cửa hàng khác... Sẽ tiếp tục ủng hộ cửa hàng",,,,,,Positive,Positive,,,,
"Nhóm màu: xanh ngọc 
Dung lượng lưu trữ: 128gb sản phẩm còn rất mới, mình sẽ tiếp tục ủng hộ cửa hàng trong tương lai",,,,,,,,,,Positive,
"Sản phẩm đúng với mô tả, giao hàng nhanh, máy hơi lác, thiết kế đẹp, có nhu cầu sẽ ủng hộ cửa hàng tiếp.",,,Negative,,Positive,,,,Positive,,
"Chất lượng đóng gói kém, lần trước mua hàng đóng gói cẩn thận hơn rất nhiều",,,,,,Negative,,,,,
Hiệu năng máy tuột dốc sau vài lần cập nhật. Camera chụp chân dung không xóa phông tốt. Sạc nhanh lúc nhận lúc không. Ứng dụng liên tục bị force close. Chăm sóc khách hàng xử lý yêu cầu bảo hành quá chậm. Shipping phải mất 8 ngày,Negative,Negative,Negative,,,,,Negative,Negative,,
ngoại hình đẹp màn hình không được trong như con xz3 mình đang sử dụng sóng khỏe,,,,Negative,Positive,,,,,,
"Màu sắc: đen 
Phân loại: nguyên seal máy đã active sẵn, còn lên luôn miui14. Thích ở bản cũ hơn vì đã lên rồi là không xuống được. Máy đẹp không trầy xước",,,,,Positive,Positive,,,,,
"Camera tối tạm được chụp đêm như mù. Chụp ảnh ban ngày còn tạm chứ tối thì nhiễu hạt, bệt màu, không thấy gì hết.",,Negative,,,,,,,,,
Hàng không như mỏ ta nha mọi người cần chú ý trước khi mua thông số fake mình đã check rồi mình mua bản 256 mà cửa hàng gửi 128,,,,,,,,,,Negative,
biết cửa hàng từ lâu rồi và cũng đã mua lần hai. sản phẩm rất tốt cho công việc,,,,,,,,,,Positive,
Máy đơ rất khó sử dụng,,,Negative,,,,,,,,
Color family: random color sản phẩm: tốt lắm nha cửa hàng mình đã mua lần thứ hai máy tốt chuẩn giá rẻ phù hợp với tiêu chí sử dụng của mình nói chung là mọi chức năng đều rất là ổn đúng máy chính hãng sử dụng cũng tốt lắm cửa hàng tư vấn nhiệt tình cảm ơn cửa hàng nhiều nhé tốt thì mình sẽ ủng hộ cửa hàng dài dài tặng cửa hàng 5 sao nha,,,,,,,Positive,Positive,,,
