data,Battery,Camera,Performance,Display,Design,Packaging,Price,Shop_Service,Shipping,General,Others
Máy mượt. Cam nét. Dùng ok,,Positive,Positive,,,,,,,,
Đã mua nhiều lần khá uy tín trộm vía sử dụng khá tốt hình ảnh và video chỉ mang tính chất nhận xu,,,,,,,,,,Positive,
"Giao nhầm vùng, pin chỉ 3 giờ xem phim. Camera macro thiếu ánh, dịch vụ đóng yêu cầu bất ngờ.",Negative,Negative,,,,,,Negative,Negative,,
"Điện thoại dùng ổn trong tầm giá, máy mình chết main nên cần gấp để dùng mà đặt hỏa tốc giao như bthg",,,,,,,Positive,,Negative,,
Giống mô tả nhưng sạc pin chậm đầy sạc 12 tiếng vẫn không đầy pin,Negative,,,,,,,,,,
"Đúng hàng đặt, sẽ test sau.",,,,,,,,,,Neutral,
Màu: Clear dòng sản phẩm tương thích: Iphone 14 promax hàng tốt,,,,,,,,,,Positive,
"Màu sắc: Đen 
Phân loại: Nguyên seal tính năng: Rẻ trong tầm giá chất lượng: Ổn định cửa hàng giao nhanh +nhiệt tình tư vấn",,,,,,,Positive,Positive,Positive,,
Cấu hình tuy không mạnh lắm nhưng với người không chơi game đồ họa này kia thì vô tư rồi.,,,Positive,,,,,,,,
Hơi lag lag 1 chút. Nhưng với giá tiền vậy cũng khá tốt rồi,,,Negative,,,,Positive,,,,
"Máy như mới,chỉ có vài vết xước bé xíu nhìn kĩ mới thấy,máy không lỗi gì,đặt hàng 98% cửa hàng giao hàng 99%,quá ưng luôn,mua ngay nhé mọi người kẻo hết. Cảm ơn cửa hàng nhiều 😊",,,,,,,,,,Positive,
"Nhóm màu: Desert 
Dung lượng lưu trữ: 512gb tốt",,,,,,,,,,Positive,
"Loa nhỏ, rè âm thanh to là quảng cáo sai nghe nhạc không đã, cuộc gọi nghe không rõ,",,,,,,,,,,Negative,
Màu sắc: Trắng-lock sim sử dụng tốt..,,,,,,,,,,Positive,
"Chưa đánh giá được mức giá có tương xứng hay không, cần so sánh thêm.",,,,,,,Neutral,,,,
Camera góc rộng bị biến dạng ở góc. Ảnh góc siêu rộng mờ. Máy bị nóng khi quay video 4k. Chất lượng ảnh không xứng với giá tiền. Chăm sóc khách hàng không hỗ trợ đổi trả,,Negative,,,,,Negative,Negative,,,
Máy xài ổn trong tầm tiền. Mình mua cho ba nên không có ảnh.,,,,,,,Positive,,,,
"Nhóm 
Màu sắc: Màu ngẫu nhiên sản phẩm: Tốt, chất lượng sản phẩm tốt, cực kì hài lòng với sản phẩm và cách phục vụ của cửa hàng. Giá cả bình dân phù hợp với sinh viên học sinh. Tặng cửa hàng 5 sao ủng hộ",,,,,,,Positive,Positive,,,
Đúng với mô tả: Không tặng quà giống như quảng cáo,,,,,,,,,,Negative,
"Chất lượng sản phẩm: Tốt tốt 
Đúng với mô tả: Chuẩn 
Tính năng nổi bật: Tốt
Mượt nhận hàng gần 1 tháng mới đánh giá ạ. Cửa hàng uy tín và bán đúng đủ thừa sản phẩm. Mua được kèm ốp dán màn. Lỗi cho đổi và đóg gói có bảo hành đàng hoàng. Sử dụng ổn định ngon lành hơn cửa hàng khác",,,,,,Positive,,Positive,,,
Máy tốt không vấn đề nhưng đúng như các bạn mua trước đã từng nói con này đúng là sóng yếu,,,,,,,,,,Negative,
Máy cầm chắc chắn va kha mới. Trải nghiêm tuyệt vơi tiếc không có ốp ạ. Cam on cửa hàng,,,,,Positive,,,,,,
"Con điện thoại pin trâu, nhìn bên ngoài khá đẹp, hệ điều hành mượt (ưu điểm từ xưa của huawei và honor). Tiếc mỗi cái chụp ảnh ẹ, quay video tạm ổn. Cho mẹ sử dụng nên thấy tốt",Positive,Negative,,,Positive,,,,,Positive,
"Đúng với mô tả: Không nên mua 
Chất lượng sản phẩm: Như cặc phí tiền 
Tính năng nổi bật: Không có như cặc",,,,,,,Negative,,,,
"Giao đúng ngày, lúc nhận hàng thấy giao cái điện thoại mà để trong thùng bự vậy, sợ bị nhầm, lúc khui thùng thì bất ngờ luôn Thì ra được Tecno tặng kèm cái quạt sạc (xịn, mát) và bình nước xinh xinh Cám ơn cửa hàng rất nhiều",,,,,,,,,Positive,,
"Mọi người ơi, lịch cập nhật phần mềm cho máy này thường diễn ra khi nào vậy?",,,,,,,,,,Neutral,
"Hàng dỏm. Ảnh chụp màu sắc bị sai tông. Hiệu năng tệ. Camera chụp màu quá ảo, không thật mắt. Hiệu năng kém, dễ lag. Pin sạc lâu. Đóng gói không bảo vệ. Ship chậm",Negative,Negative,Negative,,,Negative,,,Negative,,
"Ok... Hàng mới nguyên hộp, giá rẻ hơn nhiều cửa hàng khác... Sẽ tiếp tục ủng hộ cửa hàng",,,,,,Positive,Positive,,,,
"Nhóm màu: Xanh ngọc 
Dung lượng lưu trữ: 128gb sản phẩm còn rất mới, mình sẽ tiếp tục ủng hộ cửa hàng trong tương lai",,,,,,,,,,Positive,
"Sản phẩm đúng với mô tả, giao hàng nhanh, máy hơi lác, thiết kế đẹp, có nhu cầu sẽ ủng hộ cửa hàng tiếp.",,,Negative,,Positive,,,,Positive,,
"Chất lượng đóng gói kém, lần trước mua hàng đóng gói cẩn thận hơn rất nhiều",,,,,,Negative,,,,,
Hiệu năng máy tuột dốc sau vài lần cập nhật. Camera chụp chân dung không xóa phông tốt. Sạc nhanh lúc nhận lúc không. Ứng dụng liên tục bị force close. Chăm sóc khách hàng xử lý yêu cầu bảo hành quá chậm. Shipping phải mất 8 ngày,Negative,Negative,Negative,,,,,Negative,Negative,,
Ngoại hình đẹp màn hình không được trong như con xz3 mình đang sử dụng sóng khỏe,,,,Negative,Positive,,,,,,
"Màu sắc: Đen 
Phân loại: Nguyên seal máy đã active sẵn, còn lên luôn miui14. Thích ở bản cũ hơn vì đã lên rồi là không xuống được. Máy đẹp không trầy xước",,,,,Positive,Positive,,,,,
"Camera tối tạm được chụp đêm như mù. Chụp ảnh ban ngày còn tạm chứ tối thì nhiễu hạt, bệt màu, không thấy gì hết.",,Negative,,,,,,,,,
Hàng không như mỏ ta nha mọi người cần chú ý trước khi mua thông số fake mình đã check rồi mình mua bản 256 mà cửa hàng gửi 128,,,,,,,,,,Negative,
Biết cửa hàng từ lâu rồi và cũng đã mua lần hai. Sản phẩm rất tốt cho công việc,,,,,,,,,,Positive,
Máy đơ rất khó sử dụng,,,Negative,,,,,,,,
Color family: Random color sản phẩm: Tốt lắm nha cửa hàng mình đã mua lần thứ hai máy tốt chuẩn giá rẻ phù hợp với tiêu chí sử dụng của mình nói chung là mọi chức năng đều rất là ổn đúng máy chính hãng sử dụng cũng tốt lắm cửa hàng tư vấn nhiệt tình cảm ơn cửa hàng nhiều nhé tốt thì mình sẽ ủng hộ cửa hàng dài dài tặng cửa hàng 5 sao nha,,,,,,,Positive,Positive,,,
