sentence,aspect,sentiment
"Màu sắc: Màu đen 
Phân loại: Likenew 99% máy snap888 quá mượt anh em ạ. Săn được quả voucher 500k nữa nên đúng là quá ưng, màn to, pin trâu, cam đẹp, chả có gì để chê",Display,positive
Sản phẩm tốt cửa hàng hô tro nhiêt tinh,General,positive
"Nhếch nhác không đúng pin yếu chỉ 4 giờ sử dụng như pin dự phòng mini, hiệu năng giật khi chạy game nhẹ kiểu 'game over vì lag', đóng hàng rách toạc một góc như bị zombie cắn",Battery,negative
"Đúng với mô tả: Đúng 
Chất lượng sản phẩm: Tốt
Chất lượng khá tốt, giá rẻ, sử dụng khá mượt á mọi người, giá thành như vậy mà được điện thoại tốt vậy là quá tốt rồi",Performance,positive
Nhân viên cửa hàng xác nhận thời gian giao hàng dự kiến.,Shipping,neutral
Menw: Trà Tie:12é Tra Chanh:12e Chanh Mwa:12h Tic Yi Muai: 12h Cake Suia: 15h Tna Daa:15e Tra Dau: 15e Cam Vit: 15le Matcha latte :2Oh Caca latte:2Oh Sina Da Bia: Ble Soda Blue: 15h Sia Chia Pic:20t,Others,neutral
"Cửa hàng giao đúng hàng, đóng gói cẩn thận, đồ chất lượng luôn, sau sẽ lại ủng hộ ạ many cảm ơn",Packaging,positive
"Máy loạn cảm ứng cửa xổ không sử dụng được,mất thời gian",General,negative
"Sử dụng rất thích, nhận hàng ưng lắm. Mình không nghĩ với mức giá này có thể mua được hàng chất lượng tốt vậy. Cửa hàng đóng gói hàng rất cẩn thận, giao khá nhanh. Mình rất hài lòng với đơn hàng này",Packaging,positive
"Sản phấm tốt, xứng đáng 5 sao. Giao hàng nhanh cẩn thận. Nên mua nha cả nhà",General,positive
Hiệu năng cực kỳ thất vọng. Máy bị đơ cứng khi đang sử dụng. Chăm sóc khách hàng không giải quyết triệt để. Lag liên tục. Pin tệ. Chăm sóc khách hàng chỉ biết xin lỗi rồi thôi,Shop_Service,negative
Đã nhận được hàng săn sale siêu rẻ luôn ạ hành cửa hàng đóng gói chắc chắn,Packaging,positive
"Color family: Random color sản phẩm: Máy móc ổn định, xem youtube,nghe nhạc cực đã, pin sử dụng lâu, âm thanh,hình ảnh sắc nét, cảm ứng nhạy, nói chung mọi chức năng rất tốt, tặng cửa hàng 5 sao vì bán hàng rất uy tín ạ",Display,positive
"Sang xịn mịn luôn, mua 2c sài bao đã luôn quí vị ơi. Hình ảnh mang tính chất đgia th chứ điện thoại em có mua thiệt. Sài ngon lắm",General,positive
Điện thoại lõ cẹc nhất mà tao từng thấy bấm được 2 cái thì đơ đm cửa hàng chó đẻ lừa đảo,General,negative
Mua được máy giá tốt cấu hình ngonn trong tầm giá,Performance,positive
"Điện thoại gì sạc từ chiều giờ không lên hình luôn,cửa hàng lừa đảo quá 1 sao.",Battery,negative
"Nhóm màu: Black 
Dung lượng lưu trữ: 512gb 🔋 
Thời lượng pin: Tốt 📸 
Chất lượng camera: Tốt ⚡ 
Hiệu suất: Tốt hàng nhận được đúng như mô tả, đóng gói cẩn thận. Giao hàng nhanh",Camera,positive
"Color family: Random color sản phẩm: Màu đen cáp sạc mua hàng ở cửa hàng này khá tốt, đóng gói tốt. Giá tiền rẻ so với mặt bằng chung. Nhìn chung thì cũng hài lòng nha",Price,positive
Hiệu năng chậm sync cloud pin đột ngột camera zoom kém pin hao pin zoom,Camera,negative
"Chất lượng sản phẩm: Tạm máy hiện thông tin ảo ram 8 rom 256, thực tế ram 6, rom 128, nắp lưng hở, màn hình hở, dán keo không kĩ, loa trong ngoài là loa linh kiện, âm nhỏ, âm không giống loa hãng, bộ sạc kèm là sạc chậm không đúng vooc sạc 2h30, ốp kèm ốp oppo a5 @@! biết là hàng dựng nhưng cũng chỉnh chủ xíu chứ, tầm giá này sử dụng làm máy phụ tốt. 4 sao!",General,negative
"Hiệu năng rất chậm, mở youtube cũng lag và giật. Đóng gói thiếu phụ kiện nhỏ. Ship giao không đúng giờ hẹn 2 lần.",Packaging,negative
"Nhận hộp nguyên seal, hàng seri Việt Nam. Sử dụng ổn tuy nhiên mình gặp tình trạng máy bị chậm (nhập văn bản cứ hay bị tình trạng đơ một lúc) bị thì là lý do gì ha cửa hàng?",Performance,negative
Camera cho chất lượng ảnh đủ dùng để chia sẻ lên mạng xã hội. Thời lượng pin ở mức trung bình.,Camera,neutral
"Giao hàng nhanh, đúng loại và không bị móp méo. Sử dụng chất lượng",Shipping,positive
"🔋 
Thời lượng pin: Pin sử dụng nhanh, nóng máy 📸 
Chất lượng camera: Tạm ổn ⚡ 
Hiệu suất: Tạm ổn số với giá tiền nhưng không có sóng gọi sử dụng không được",Battery,positive
Nhận được hàng nhanh chóng tận nhà... Rất mau lẹ. Nhìn tổng quan rất tốt nha mọi người..... Đẹp... Bắt mắt... Để sử dụng xem chất lượng thế nào,Design,positive
"Tình trạng: 96% 
Nhóm màu: Vàng camera chất lượng cao để ghi lại những khoảnh khắc đẹp, giá trị tuyệt vời cho tiền bỏ ra, rất đáng mua,",Camera,positive
"Màu sắc: Đen 
Phân loại: Nguyên seal thiết kế mỏng nhẹ, rất đẹp!, thời lượng pin lâu dài., chất lượng camera ấn tượng., thích màu bạc của điện thoại., phiên bản quốc tế tuyệt vời với khả năng tương thích toàn cầu., chống nước là một điểm cộng., hiệu suất mượt mà với chip snapdragon 480., màn hình tuyệt vời với tần số làm mới 90hz.,",Display,positive
Hiệu năng chậm khởi động máy. Ship chậm khu vực miền núi. Chăm sóc khách hàng yêu cầu tự ship lại tốn kém.,Shipping,negative
