aspect,total,correct,errors,accuracy,error_rate
Performance,235,210,25,0.8936170212765957,0.1063829787234043
Camera,167,151,16,0.9041916167664671,0.09580838323353291
General,377,345,32,0.9151193633952255,0.08488063660477452
Design,249,232,17,0.9317269076305221,0.06827309236947787
Battery,256,241,15,0.94140625,0.05859375
Price,273,258,15,0.945054945054945,0.05494505494505497
Display,129,122,7,0.9457364341085271,0.054263565891472854
Packaging,226,218,8,0.9646017699115044,0.03539823008849563
Shop_Service,239,232,7,0.9707112970711297,0.029288702928870314
Shipping,313,306,7,0.9776357827476039,0.022364217252396124
Others,32,32,0,1.0,0.0
