aspect,confusion_type,error_count
Battery,positive → negative,8
Battery,positive → neutral,3
Battery,negative → positive,2
Battery,negative → neutral,1
Battery,neutral → negative,1
Camera,negative → positive,5
Camera,positive → negative,5
Camera,positive → neutral,4
Camera,negative → neutral,1
Camera,neutral → negative,1
Design,negative → positive,7
Design,positive → negative,7
Design,neutral → negative,2
Design,negative → neutral,1
Display,negative → positive,4
Display,neutral → negative,1
Display,positive → negative,1
Display,positive → neutral,1
General,neutral → positive,12
General,positive → negative,9
General,negative → positive,4
General,positive → neutral,3
General,negative → neutral,2
General,neutral → negative,2
Packaging,negative → positive,5
Packaging,neutral → negative,1
Packaging,neutral → positive,1
Packaging,positive → negative,1
Performance,negative → positive,7
Performance,positive → neutral,6
Performance,positive → negative,5
Performance,neutral → negative,3
Performance,negative → neutral,2
Performance,neutral → positive,2
Price,negative → positive,6
Price,positive → neutral,4
Price,neutral → positive,3
Price,negative → neutral,1
Price,positive → negative,1
Shipping,negative → positive,2
Shipping,neutral → negative,2
Shipping,positive → negative,2
Shipping,neutral → positive,1
Shop_Service,negative → positive,3
Shop_Service,neutral → negative,2
Shop_Service,positive → negative,1
Shop_Service,positive → neutral,1
